"deaths","year","corps","fisher"
0,1875,"G","no"
0,1875,"I","no"
0,1875,"II","yes"
0,1875,"III","yes"
0,1875,"IV","yes"
0,1875,"V","yes"
0,1875,"VI","no"
1,1875,"VII","yes"
1,1875,"VIII","yes"
0,1875,"IX","yes"
0,1875,"X","yes"
0,1875,"XI","no"
1,1875,"XIV","yes"
0,1875,"XV","yes"
2,1876,"G","no"
0,1876,"I","no"
0,1876,"II","yes"
0,1876,"III","yes"
1,1876,"IV","yes"
0,1876,"V","yes"
0,1876,"VI","no"
0,1876,"VII","yes"
0,1876,"VIII","yes"
0,1876,"IX","yes"
0,1876,"X","yes"
0,1876,"XI","no"
1,1876,"XIV","yes"
1,1876,"XV","yes"
2,1877,"G","no"
0,1877,"I","no"
0,1877,"II","yes"
0,1877,"III","yes"
0,1877,"IV","yes"
0,1877,"V","yes"
1,1877,"VI","no"
1,1877,"VII","yes"
0,1877,"VIII","yes"
0,1877,"IX","yes"
1,1877,"X","yes"
0,1877,"XI","no"
2,1877,"XIV","yes"
0,1877,"XV","yes"
1,1878,"G","no"
2,1878,"I","no"
2,1878,"II","yes"
1,1878,"III","yes"
1,1878,"IV","yes"
0,1878,"V","yes"
0,1878,"VI","no"
0,1878,"VII","yes"
0,1878,"VIII","yes"
0,1878,"IX","yes"
1,1878,"X","yes"
0,1878,"XI","no"
1,1878,"XIV","yes"
0,1878,"XV","yes"
0,1879,"G","no"
0,1879,"I","no"
0,1879,"II","yes"
1,1879,"III","yes"
1,1879,"IV","yes"
2,1879,"V","yes"
2,1879,"VI","no"
0,1879,"VII","yes"
1,1879,"VIII","yes"
0,1879,"IX","yes"
0,1879,"X","yes"
2,1879,"XI","no"
1,1879,"XIV","yes"
0,1879,"XV","yes"
0,1880,"G","no"
3,1880,"I","no"
2,1880,"II","yes"
1,1880,"III","yes"
1,1880,"IV","yes"
1,1880,"V","yes"
0,1880,"VI","no"
0,1880,"VII","yes"
0,1880,"VIII","yes"
2,1880,"IX","yes"
1,1880,"X","yes"
4,1880,"XI","no"
3,1880,"XIV","yes"
0,1880,"XV","yes"
1,1881,"G","no"
0,1881,"I","no"
0,1881,"II","yes"
2,1881,"III","yes"
1,1881,"IV","yes"
0,1881,"V","yes"
0,1881,"VI","no"
1,1881,"VII","yes"
0,1881,"VIII","yes"
1,1881,"IX","yes"
0,1881,"X","yes"
0,1881,"XI","no"
0,1881,"XIV","yes"
0,1881,"XV","yes"
1,1882,"G","no"
2,1882,"I","no"
0,1882,"II","yes"
0,1882,"III","yes"
0,1882,"IV","yes"
0,1882,"V","yes"
1,1882,"VI","no"
0,1882,"VII","yes"
1,1882,"VIII","yes"
1,1882,"IX","yes"
2,1882,"X","yes"
1,1882,"XI","no"
4,1882,"XIV","yes"
1,1882,"XV","yes"
0,1883,"G","no"
0,1883,"I","no"
1,1883,"II","yes"
2,1883,"III","yes"
0,1883,"IV","yes"
1,1883,"V","yes"
2,1883,"VI","no"
1,1883,"VII","yes"
0,1883,"VIII","yes"
1,1883,"IX","yes"
0,1883,"X","yes"
3,1883,"XI","no"
0,1883,"XIV","yes"
0,1883,"XV","yes"
3,1884,"G","no"
0,1884,"I","no"
1,1884,"II","yes"
0,1884,"III","yes"
0,1884,"IV","yes"
0,1884,"V","yes"
0,1884,"VI","no"
1,1884,"VII","yes"
0,1884,"VIII","yes"
0,1884,"IX","yes"
2,1884,"X","yes"
0,1884,"XI","no"
1,1884,"XIV","yes"
1,1884,"XV","yes"
0,1885,"G","no"
0,1885,"I","no"
0,1885,"II","yes"
0,1885,"III","yes"
0,1885,"IV","yes"
0,1885,"V","yes"
1,1885,"VI","no"
0,1885,"VII","yes"
0,1885,"VIII","yes"
2,1885,"IX","yes"
0,1885,"X","yes"
1,1885,"XI","no"
0,1885,"XIV","yes"
1,1885,"XV","yes"
2,1886,"G","no"
1,1886,"I","no"
0,1886,"II","yes"
0,1886,"III","yes"
1,1886,"IV","yes"
1,1886,"V","yes"
1,1886,"VI","no"
0,1886,"VII","yes"
0,1886,"VIII","yes"
1,1886,"IX","yes"
0,1886,"X","yes"
1,1886,"XI","no"
3,1886,"XIV","yes"
0,1886,"XV","yes"
1,1887,"G","no"
1,1887,"I","no"
2,1887,"II","yes"
1,1887,"III","yes"
0,1887,"IV","yes"
0,1887,"V","yes"
3,1887,"VI","no"
2,1887,"VII","yes"
1,1887,"VIII","yes"
1,1887,"IX","yes"
0,1887,"X","yes"
1,1887,"XI","no"
2,1887,"XIV","yes"
0,1887,"XV","yes"
0,1888,"G","no"
1,1888,"I","no"
1,1888,"II","yes"
0,1888,"III","yes"
0,1888,"IV","yes"
1,1888,"V","yes"
1,1888,"VI","no"
0,1888,"VII","yes"
0,1888,"VIII","yes"
0,1888,"IX","yes"
0,1888,"X","yes"
1,1888,"XI","no"
1,1888,"XIV","yes"
0,1888,"XV","yes"
0,1889,"G","no"
0,1889,"I","no"
1,1889,"II","yes"
1,1889,"III","yes"
0,1889,"IV","yes"
1,1889,"V","yes"
1,1889,"VI","no"
0,1889,"VII","yes"
0,1889,"VIII","yes"
1,1889,"IX","yes"
2,1889,"X","yes"
2,1889,"XI","no"
0,1889,"XIV","yes"
2,1889,"XV","yes"
1,1890,"G","no"
2,1890,"I","no"
0,1890,"II","yes"
2,1890,"III","yes"
0,1890,"IV","yes"
1,1890,"V","yes"
1,1890,"VI","no"
2,1890,"VII","yes"
0,1890,"VIII","yes"
2,1890,"IX","yes"
1,1890,"X","yes"
1,1890,"XI","no"
2,1890,"XIV","yes"
2,1890,"XV","yes"
0,1891,"G","no"
0,1891,"I","no"
0,1891,"II","yes"
1,1891,"III","yes"
1,1891,"IV","yes"
1,1891,"V","yes"
0,1891,"VI","no"
1,1891,"VII","yes"
1,1891,"VIII","yes"
0,1891,"IX","yes"
3,1891,"X","yes"
3,1891,"XI","no"
1,1891,"XIV","yes"
0,1891,"XV","yes"
1,1892,"G","no"
3,1892,"I","no"
2,1892,"II","yes"
0,1892,"III","yes"
1,1892,"IV","yes"
1,1892,"V","yes"
3,1892,"VI","no"
0,1892,"VII","yes"
1,1892,"VIII","yes"
1,1892,"IX","yes"
0,1892,"X","yes"
1,1892,"XI","no"
1,1892,"XIV","yes"
0,1892,"XV","yes"
0,1893,"G","no"
1,1893,"I","no"
0,1893,"II","yes"
0,1893,"III","yes"
0,1893,"IV","yes"
1,1893,"V","yes"
0,1893,"VI","no"
2,1893,"VII","yes"
0,1893,"VIII","yes"
0,1893,"IX","yes"
1,1893,"X","yes"
3,1893,"XI","no"
0,1893,"XIV","yes"
0,1893,"XV","yes"
1,1894,"G","no"
0,1894,"I","no"
0,1894,"II","yes"
0,1894,"III","yes"
0,1894,"IV","yes"
0,1894,"V","yes"
0,1894,"VI","no"
0,1894,"VII","yes"
1,1894,"VIII","yes"
0,1894,"IX","yes"
1,1894,"X","yes"
1,1894,"XI","no"
0,1894,"XIV","yes"
0,1894,"XV","yes"
