TIME,GEO,AGE,UNIT,SEX,Value
2007,United Kingdom,Total,Percentage of active population,Total,5.3
2008,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,7.6
2008,Belgium,Total,Percentage of active population,Total,7
2008,Bulgaria,Total,Percentage of active population,Total,5.6
2008,Czech Republic,Total,Percentage of active population,Total,4.4
2008,Denmark,Total,Percentage of active population,Total,3.4
2008,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,7.4
2008,Estonia,Total,Percentage of active population,Total,5.5
2008,Ireland,Total,Percentage of active population,Total,6.4
2008,Greece,Total,Percentage of active population,Total,7.8
2008,Spain,Total,Percentage of active population,Total,11.3
2008,France,Total,Percentage of active population,Total,7.4
2008,Croatia,Total,Percentage of active population,Total,8.6
2008,Italy,Total,Percentage of active population,Total,6.7
2008,Cyprus,Total,Percentage of active population,Total,3.7
2008,Latvia,Total,Percentage of active population,Total,7.7
2008,Lithuania,Total,Percentage of active population,Total,5.8
2008,Luxembourg,Total,Percentage of active population,Total,4.9
2008,Hungary,Total,Percentage of active population,Total,7.8
2008,Malta,Total,Percentage of active population,Total,6
2008,Netherlands,Total,Percentage of active population,Total,3.7
2008,Austria,Total,Percentage of active population,Total,4.1
2008,Poland,Total,Percentage of active population,Total,7.1
2008,Portugal,Total,Percentage of active population,Total,8.8
2008,Romania,Total,Percentage of active population,Total,5.6
2008,Slovenia,Total,Percentage of active population,Total,4.4
2008,Slovakia,Total,Percentage of active population,Total,9.6
2008,Finland,Total,Percentage of active population,Total,6.4
2008,Sweden,Total,Percentage of active population,Total,6.2
2008,United Kingdom,Total,Percentage of active population,Total,5.6
2009,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,9.5
2009,Belgium,Total,Percentage of active population,Total,7.9
2009,Bulgaria,Total,Percentage of active population,Total,6.8
2009,Czech Republic,Total,Percentage of active population,Total,6.7
2009,Denmark,Total,Percentage of active population,Total,6
2009,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,7.6
2009,Estonia,Total,Percentage of active population,Total,13.5
2009,Ireland,Total,Percentage of active population,Total,12
2009,Greece,Total,Percentage of active population,Total,9.6
2009,Spain,Total,Percentage of active population,Total,17.9
2009,France,Total,Percentage of active population,Total,9.1
2009,Croatia,Total,Percentage of active population,Total,9.2
2009,Italy,Total,Percentage of active population,Total,7.7
2009,Cyprus,Total,Percentage of active population,Total,5.4
2009,Latvia,Total,Percentage of active population,Total,17.5
2009,Lithuania,Total,Percentage of active population,Total,13.8
2009,Luxembourg,Total,Percentage of active population,Total,5.1
2009,Hungary,Total,Percentage of active population,Total,10
2009,Malta,Total,Percentage of active population,Total,6.9
2009,Netherlands,Total,Percentage of active population,Total,4.4
2009,Austria,Total,Percentage of active population,Total,5.3
2009,Poland,Total,Percentage of active population,Total,8.1
2009,Portugal,Total,Percentage of active population,Total,10.7
2009,Romania,Total,Percentage of active population,Total,6.5
2009,Slovenia,Total,Percentage of active population,Total,5.9
2009,Slovakia,Total,Percentage of active population,Total,12.1
2009,Finland,Total,Percentage of active population,Total,8.2
2009,Sweden,Total,Percentage of active population,Total,8.3
2009,United Kingdom,Total,Percentage of active population,Total,7.6
2010,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,10
2010,Belgium,Total,Percentage of active population,Total,8.3
2010,Bulgaria,Total,Percentage of active population,Total,10.3
2010,Czech Republic,Total,Percentage of active population,Total,7.3
2010,Denmark,Total,Percentage of active population,Total,7.5
2010,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,7
2010,Estonia,Total,Percentage of active population,Total,16.7
2010,Ireland,Total,Percentage of active population,Total,13.9
2010,Greece,Total,Percentage of active population,Total,12.7
2010,Spain,Total,Percentage of active population,Total,19.9
2010,France,Total,Percentage of active population,Total,9.3
2010,Croatia,Total,Percentage of active population,Total,11.7
2010,Italy,Total,Percentage of active population,Total,8.4
2010,Cyprus,Total,Percentage of active population,Total,6.3
2010,Latvia,Total,Percentage of active population,Total,19.5
2010,Lithuania,Total,Percentage of active population,Total,17.8
2010,Luxembourg,Total,Percentage of active population,Total,4.6
2010,Hungary,Total,Percentage of active population,Total,11.2
2010,Malta,Total,Percentage of active population,Total,6.9
2010,Netherlands,Total,Percentage of active population,Total,5
2010,Austria,Total,Percentage of active population,Total,4.8
2010,Poland,Total,Percentage of active population,Total,9.7
2010,Portugal,Total,Percentage of active population,Total,12
2010,Romania,Total,Percentage of active population,Total,7
2010,Slovenia,Total,Percentage of active population,Total,7.3
2010,Slovakia,Total,Percentage of active population,Total,14.5
2010,Finland,Total,Percentage of active population,Total,8.4
2010,Sweden,Total,Percentage of active population,Total,8.6
2010,United Kingdom,Total,Percentage of active population,Total,7.8
2011,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,10.1
2011,Belgium,Total,Percentage of active population,Total,7.2
2011,Bulgaria,Total,Percentage of active population,Total,11.3
2011,Czech Republic,Total,Percentage of active population,Total,6.7
2011,Denmark,Total,Percentage of active population,Total,7.6
2011,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,5.8
2011,Estonia,Total,Percentage of active population,Total,12.3
2011,Ireland,Total,Percentage of active population,Total,14.7
2011,Greece,Total,Percentage of active population,Total,17.9
2011,Spain,Total,Percentage of active population,Total,21.4
2011,France,Total,Percentage of active population,Total,9.2
2011,Croatia,Total,Percentage of active population,Total,13.7
2011,Italy,Total,Percentage of active population,Total,8.4
2011,Cyprus,Total,Percentage of active population,Total,7.9
2011,Latvia,Total,Percentage of active population,Total,16.2
2011,Lithuania,Total,Percentage of active population,Total,15.4
2011,Luxembourg,Total,Percentage of active population,Total,4.8
2011,Hungary,Total,Percentage of active population,Total,11
2011,Malta,Total,Percentage of active population,Total,6.4
2011,Netherlands,Total,Percentage of active population,Total,5
2011,Austria,Total,Percentage of active population,Total,4.6
2011,Poland,Total,Percentage of active population,Total,9.7
2011,Portugal,Total,Percentage of active population,Total,12.9
2011,Romania,Total,Percentage of active population,Total,7.2
2011,Slovenia,Total,Percentage of active population,Total,8.2
2011,Slovakia,Total,Percentage of active population,Total,13.7
2011,Finland,Total,Percentage of active population,Total,7.8
2011,Sweden,Total,Percentage of active population,Total,7.8
2011,United Kingdom,Total,Percentage of active population,Total,8.1
2012,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,11.3
2012,Belgium,Total,Percentage of active population,Total,7.6
2012,Bulgaria,Total,Percentage of active population,Total,12.3
2012,Czech Republic,Total,Percentage of active population,Total,7
2012,Denmark,Total,Percentage of active population,Total,7.5
2012,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,5.4
2012,Estonia,Total,Percentage of active population,Total,10
2012,Ireland,Total,Percentage of active population,Total,14.7
2012,Greece,Total,Percentage of active population,Total,24.5
2012,Spain,Total,Percentage of active population,Total,24.8
2012,France,Total,Percentage of active population,Total,9.8
2012,Croatia,Total,Percentage of active population,Total,16
2012,Italy,Total,Percentage of active population,Total,10.7
2012,Cyprus,Total,Percentage of active population,Total,11.9
2012,Latvia,Total,Percentage of active population,Total,15
2012,Lithuania,Total,Percentage of active population,Total,13.4
2012,Luxembourg,Total,Percentage of active population,Total,5.1
2012,Hungary,Total,Percentage of active population,Total,11
2012,Malta,Total,Percentage of active population,Total,6.3
2012,Netherlands,Total,Percentage of active population,Total,5.8
2012,Austria,Total,Percentage of active population,Total,4.9
2012,Poland,Total,Percentage of active population,Total,10.1
2012,Portugal,Total,Percentage of active population,Total,15.8
2012,Romania,Total,Percentage of active population,Total,6.8
2012,Slovenia,Total,Percentage of active population,Total,8.9
2012,Slovakia,Total,Percentage of active population,Total,14
2012,Finland,Total,Percentage of active population,Total,7.7
2012,Sweden,Total,Percentage of active population,Total,8
2012,United Kingdom,Total,Percentage of active population,Total,7.9
2013,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,12
2013,Belgium,Total,Percentage of active population,Total,8.4
2013,Bulgaria,Total,Percentage of active population,Total,13
2013,Czech Republic,Total,Percentage of active population,Total,7
2013,Denmark,Total,Percentage of active population,Total,7
2013,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,5.2
2013,Estonia,Total,Percentage of active population,Total,8.6
2013,Ireland,Total,Percentage of active population,Total,13.1
2013,Greece,Total,Percentage of active population,Total,27.5
2013,Spain,Total,Percentage of active population,Total,26.1
2013,France,Total,Percentage of active population,Total,10.3
2013,Croatia,Total,Percentage of active population,Total,17.3
2013,Italy,Total,Percentage of active population,Total,12.1
2013,Cyprus,Total,Percentage of active population,Total,15.9
2013,Latvia,Total,Percentage of active population,Total,11.9
2013,Lithuania,Total,Percentage of active population,Total,11.8
2013,Luxembourg,Total,Percentage of active population,Total,5.9
2013,Hungary,Total,Percentage of active population,Total,10.2
2013,Malta,Total,Percentage of active population,Total,6.4
2013,Netherlands,Total,Percentage of active population,Total,7.3
2013,Austria,Total,Percentage of active population,Total,5.4
2013,Poland,Total,Percentage of active population,Total,10.3
2013,Portugal,Total,Percentage of active population,Total,16.4
2013,Romania,Total,Percentage of active population,Total,7.1
2013,Slovenia,Total,Percentage of active population,Total,10.1
2013,Slovakia,Total,Percentage of active population,Total,14.2
2013,Finland,Total,Percentage of active population,Total,8.2
2013,Sweden,Total,Percentage of active population,Total,8
2013,United Kingdom,Total,Percentage of active population,Total,7.6
2014,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,11.6
2014,Belgium,Total,Percentage of active population,Total,8.5
2014,Bulgaria,Total,Percentage of active population,Total,11.4
2014,Czech Republic,Total,Percentage of active population,Total,6.1
2014,Denmark,Total,Percentage of active population,Total,6.6
2014,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,5
2014,Estonia,Total,Percentage of active population,Total,7.4
2014,Ireland,Total,Percentage of active population,Total,11.3
2014,Greece,Total,Percentage of active population,Total,26.5
2014,Spain,Total,Percentage of active population,Total,24.5
2014,France,Total,Percentage of active population,Total,10.3
2014,Croatia,Total,Percentage of active population,Total,17.3
2014,Italy,Total,Percentage of active population,Total,12.7
2014,Cyprus,Total,Percentage of active population,Total,16.1
2014,Latvia,Total,Percentage of active population,Total,10.8
2014,Lithuania,Total,Percentage of active population,Total,10.7
2014,Luxembourg,Total,Percentage of active population,Total,6
2014,Hungary,Total,Percentage of active population,Total,7.7
2014,Malta,Total,Percentage of active population,Total,5.8
2014,Netherlands,Total,Percentage of active population,Total,7.4
2014,Austria,Total,Percentage of active population,Total,5.6
2014,Poland,Total,Percentage of active population,Total,9
2014,Portugal,Total,Percentage of active population,Total,14.1
2014,Romania,Total,Percentage of active population,Total,6.8
2014,Slovenia,Total,Percentage of active population,Total,9.7
2014,Slovakia,Total,Percentage of active population,Total,13.2
2014,Finland,Total,Percentage of active population,Total,8.7
2014,Sweden,Total,Percentage of active population,Total,7.9
2014,United Kingdom,Total,Percentage of active population,Total,6.1
2015,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,10.9
2015,Belgium,Total,Percentage of active population,Total,8.5
2015,Bulgaria,Total,Percentage of active population,Total,9.2
2015,Czech Republic,Total,Percentage of active population,Total,5.1
2015,Denmark,Total,Percentage of active population,Total,6.2
2015,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,4.6
2015,Estonia,Total,Percentage of active population,Total,6.2
2015,Ireland,Total,Percentage of active population,Total,9.4
2015,Greece,Total,Percentage of active population,Total,24.9
2015,Spain,Total,Percentage of active population,Total,22.1
2015,France,Total,Percentage of active population,Total,10.4
2015,Croatia,Total,Percentage of active population,Total,16.3
2015,Italy,Total,Percentage of active population,Total,11.9
2015,Cyprus,Total,Percentage of active population,Total,15
2015,Latvia,Total,Percentage of active population,Total,9.9
2015,Lithuania,Total,Percentage of active population,Total,9.1
2015,Luxembourg,Total,Percentage of active population,Total,6.5
2015,Hungary,Total,Percentage of active population,Total,6.8
2015,Malta,Total,Percentage of active population,Total,5.4
2015,Netherlands,Total,Percentage of active population,Total,6.9
2015,Austria,Total,Percentage of active population,Total,5.7
2015,Poland,Total,Percentage of active population,Total,7.5
2015,Portugal,Total,Percentage of active population,Total,12.6
2015,Romania,Total,Percentage of active population,Total,6.8
2015,Slovenia,Total,Percentage of active population,Total,9
2015,Slovakia,Total,Percentage of active population,Total,11.5
2015,Finland,Total,Percentage of active population,Total,9.4
2015,Sweden,Total,Percentage of active population,Total,7.4
2015,United Kingdom,Total,Percentage of active population,Total,5.3
2016,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,10
2016,Belgium,Total,Percentage of active population,Total,8
2016,Bulgaria,Total,Percentage of active population,Total,7.7
2016,Czech Republic,Total,Percentage of active population,Total,4
2016,Denmark,Total,Percentage of active population,Total,6.2
2016,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,4.1
2016,Estonia,Total,Percentage of active population,Total,6.8
2016,Ireland,Total,Percentage of active population,Total,7.9
2016,Greece,Total,Percentage of active population,Total,23.5
2016,Spain,Total,Percentage of active population,Total,19.6
2016,France,Total,Percentage of active population,Total,10
2016,Croatia,Total,Percentage of active population,Total,12.8
2016,Italy,Total,Percentage of active population,Total, 
2016,Cyprus,Total,Percentage of active population,Total,13.3
2016,Latvia,Total,Percentage of active population,Total,9.6
2016,Lithuania,Total,Percentage of active population,Total,7.9
2016,Luxembourg,Total,Percentage of active population,Total,6.3
2016,Hungary,Total,Percentage of active population,Total,5.1
2016,Malta,Total,Percentage of active population,Total,4.8
2016,Netherlands,Total,Percentage of active population,Total,6
2016,Austria,Total,Percentage of active population,Total,6
2016,Poland,Total,Percentage of active population,Total,6.2
2016,Portugal,Total,Percentage of active population,Total,11.2
2016,Romania,Total,Percentage of active population,Total,5.9
2016,Slovenia,Total,Percentage of active population,Total,7.9
2016,Slovakia,Total,Percentage of active population,Total,9.7
2016,Finland,Total,Percentage of active population,Total,8.8
2016,Sweden,Total,Percentage of active population,Total,6.9
2016,United Kingdom,Total,Percentage of active population,Total,4.8
